Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementPresent(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/span_A lowercase letter""), 0)",Chrome 100.0.4896.75,,,2022-04-11 11:14:47,2022-04-11 11:14:47,0.652s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/span_An uppercase letter""), 0)",Chrome 100.0.4896.75,,,2022-04-11 11:14:47,2022-04-11 11:14:48,0.718s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/span_A number""), 0)",Chrome 100.0.4896.75,,,2022-04-11 11:14:48,2022-04-11 11:14:49,0.643s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/span_A special character""), 0)",Chrome 100.0.4896.75,,,2022-04-11 11:14:49,2022-04-11 11:14:49,0.645s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/span_Must not be your email address""), 0)",Chrome 100.0.4896.75,,,2022-04-11 11:14:49,2022-04-11 11:14:50,0.681s,PASSED
"verifyElementText(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/span_Password must contain""), ""Password must contain:"")",Chrome 100.0.4896.75,,,2022-04-11 11:14:50,2022-04-11 11:14:51,0.791s,PASSED
"verifyElementText(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/span_At least 8 characters""), ""At least 8 characters"")",Chrome 100.0.4896.75,,,2022-04-11 11:14:51,2022-04-11 11:14:52,0.851s,PASSED
"verifyElementText(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/span_A lowercase letter""), ""A lowercase letter"")",Chrome 100.0.4896.75,,,2022-04-11 11:14:52,2022-04-11 11:14:52,0.700s,PASSED
"verifyElementText(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/span_An uppercase letter""), ""An uppercase letter"")",Chrome 100.0.4896.75,,,2022-04-11 11:14:52,2022-04-11 11:14:53,0.799s,PASSED
"verifyElementText(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/span_A number""), ""A number"")",Chrome 100.0.4896.75,,,2022-04-11 11:14:53,2022-04-11 11:14:54,0.800s,PASSED
"verifyElementText(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/span_A special character""), ""A special character"")",Chrome 100.0.4896.75,,,2022-04-11 11:14:54,2022-04-11 11:14:55,0.771s,PASSED
"verifyElementText(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/span_Must not be your email address""), ""Must not be your email address"")",Chrome 100.0.4896.75,,,2022-04-11 11:14:55,2022-04-11 11:14:55,0.809s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/p_4. Stay up to date via SMS""), 0)",Chrome 100.0.4896.75,,,2022-04-11 11:14:55,2022-04-11 11:14:56,0.659s,PASSED
"verifyElementText(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/p_4. Stay up to date via SMS""), ""4. Stay up to date via SMS."")",Chrome 100.0.4896.75,,,2022-04-11 11:14:56,2022-04-11 11:14:57,0.667s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/div_You will receive the latest product and_c60db3""), 0)",Chrome 100.0.4896.75,,,2022-04-11 11:14:57,2022-04-11 11:14:57,0.630s,PASSED
"verifyElementText(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/div_You will receive the latest product and_c60db3""), ""You will receive the latest product and discount information."")",Chrome 100.0.4896.75,,,2022-04-11 11:14:57,2022-04-11 11:14:58,0.709s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/input_Mobile phone (optional)_de90bf96-74b5_dd48ac""), 0)",Chrome 100.0.4896.75,,,2022-04-11 11:14:58,2022-04-11 11:14:59,0.629s,PASSED
"verifyElementText(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/input_Mobile phone (optional)_de90bf96-74b5_dd48ac_1""), """")",Chrome 100.0.4896.75,,,2022-04-11 11:14:59,2022-04-11 11:15:00,0.863s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/span_Consent to Receive Certain Text Messag_3845ec""), 0)",Chrome 100.0.4896.75,,,2022-04-11 11:15:00,2022-04-11 11:15:00,0.699s,PASSED
"verifyElementText(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/span_Consent to Receive Certain Text Messag_3845ec""), ""Consent to Receive Certain Text Messages: By signing up for Enfamil text alerts you will receive occasional messages that include information regarding infant and toddler formula. Message and data rates may apply. Text STOP to cancel, HELP for help. By opting-in, you agree to get texts from Enfamil at your mobile number, which may be sent through an automatic telephone dialing system. Your consent to receive such texts is not required for you to obtain any Enfamil products."")",Chrome 100.0.4896.75,,,2022-04-11 11:15:00,2022-04-11 11:15:01,0.681s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/label_Consent to Receive Certain Text Messa_5ce4cc""), 0)",Chrome 100.0.4896.75,,,2022-04-11 11:15:01,2022-04-11 11:15:02,0.638s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/p_Consent to Receive Certain Text Messages _e143b0""), 0)",Chrome 100.0.4896.75,,,2022-04-11 11:15:02,2022-04-11 11:15:02,0.780s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/p_5. Customize your profile for you and your baby""), 0)",Chrome 100.0.4896.75,,,2022-04-11 11:15:02,2022-04-11 11:15:03,0.652s,PASSED
"verifyElementText(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/p_5. Customize your profile for you and your baby""), ""5. Customize your profile for you and your baby."")",Chrome 100.0.4896.75,,,2022-04-11 11:15:03,2022-04-11 11:15:04,0.712s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/div_Well provide tips and samples to fit yo_5c2778""), 0)",Chrome 100.0.4896.75,,,2022-04-11 11:15:04,2022-04-11 11:15:04,0.677s,PASSED
"verifyElementText(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/div_Well provide tips and samples to fit yo_5c2778""), ""We’ll provide tips and samples to fit your needs."")",Chrome 100.0.4896.75,,,2022-04-11 11:15:04,2022-04-11 11:15:05,0.831s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/label_Babys Due Date or Birth Date""), 0)",Chrome 100.0.4896.75,,,2022-04-11 11:15:05,2022-04-11 11:15:06,0.744s,PASSED
